annee,type_lgt,log_aut,log_com
2011,Collectif,55255,33516
2011,Indiv_groupe,6663,5218
2011,Indiv_pur,6624,4842
2011,Residence,9656,5558
2011,Tous,78198,49134
2012,Collectif,56696,41781
2012,Indiv_groupe,5244,3865
2012,Indiv_pur,6105,4420
2012,Residence,9680,5963
2012,Tous,77725,56029
2013,Collectif,46904,39827
2013,Indiv_groupe,3686,3256
2013,Indiv_pur,5696,4037
2013,Residence,5974,6118
2013,Tous,62260,53238
2014,Collectif,45662,36633
2014,Indiv_groupe,2905,2644
2014,Indiv_pur,6106,3777
2014,Residence,10800,6691
2014,Tous,65473,49745
2015,Collectif,52286,41928
2015,Indiv_groupe,4197,2474
2015,Indiv_pur,6728,4193
2015,Residence,13850,11616
2015,Tous,77061,60211
2016,Collectif,65753,43815
2016,Indiv_groupe,3614,3392
2016,Indiv_pur,7370,4578
2016,Residence,10703,9471
2016,Tous,87440,61256
2017,Collectif,73743,60513
2017,Indiv_groupe,3715,2865
2017,Indiv_pur,7600,5027
2017,Residence,12059,13601
2017,Tous,97117,82006
2018,Collectif,70304,59343
2018,Indiv_groupe,3591,2801
2018,Indiv_pur,7082,4941
2018,Residence,11219,9820
2018,Tous,92196,76905
2019,Collectif,60857,55257
2019,Indiv_groupe,3125,2665
2019,Indiv_pur,6548,4782
2019,Residence,10500,9253
2019,Tous,81030,71957
2020,Collectif,43935,43220
2020,Indiv_groupe,2807,1860
2020,Indiv_pur,5553,4084
2020,Residence,10908,8702
2020,Tous,63203,57866
2021,Collectif,52952,49374
2021,Indiv_groupe,3196,2595
2021,Indiv_pur,7039,4491
2021,Residence,8373,8152
2021,Tous,71560,64612
2022,Collectif,59064,43315
2022,Indiv_groupe,3518,2387
2022,Indiv_pur,6135,4562
2022,Residence,11578,8994
2022,Tous,80295,59258
2023,Collectif,43538,30744
2023,Indiv_groupe,2717,1484
2023,Indiv_pur,4403,3222
2023,Residence,10612,7352
2023,Tous,61270,42802
2024,Collectif,36058,0
2024,Indiv_groupe,2536,0
2024,Indiv_pur,3364,0
2024,Residence,14728,0
2024,Tous,56686,0
